State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,1/4/20,"4,578",12/28/19,"18,523","1,923,741",0.96
Alabama,1/11/20,"3,629",1/4/20,"21,143","1,923,741",1.1
Alabama,1/18/20,"2,483",1/11/20,"17,402","1,923,741",0.9
Alabama,1/25/20,"2,129",1/18/20,"18,390","1,923,741",0.96
Alabama,2/1/20,"2,170",1/25/20,"17,284","1,923,741",0.9
Alabama,2/8/20,"2,176",2/1/20,"16,745","1,923,741",0.87
Alabama,2/15/20,"1,981",2/8/20,"16,571","1,923,741",0.86
Alabama,2/22/20,"1,735",2/15/20,"16,059","1,923,741",0.83
Alabama,2/29/20,"1,575",2/22/20,"14,721","1,923,741",0.77
Alabama,3/7/20,"1,663",2/29/20,"13,657","1,923,741",0.71
Alabama,3/14/20,"1,819",3/7/20,"13,070","1,923,741",0.68
Alabama,3/21/20,"10,892",3/14/20,"12,487","1,923,741",0.65
Alabama,3/28/20,"80,984",3/21/20,"18,083","1,923,741",0.94
Alabama,4/4/20,"106,739",3/28/20,"52,176","1,923,741",2.71
Alaska,1/4/20,981,12/28/19,"10,177","306,493",3.32
Alaska,1/11/20,"1,371",1/4/20,"9,310","307,329",3.03
Alaska,1/18/20,"1,181",1/11/20,"9,984","307,329",3.25
Alaska,1/25/20,"1,003",1/18/20,"9,496","307,329",3.09
Alaska,2/1/20,"1,122",1/25/20,"9,579","307,329",3.12
Alaska,2/8/20,980,2/1/20,"9,161","307,329",2.98
Alaska,2/15/20,915,2/8/20,"9,343","307,329",3.04
Alaska,2/22/20,773,2/15/20,"8,864","307,329",2.88
Alaska,2/29/20,874,2/22/20,"8,938","307,329",2.91
Alaska,3/7/20,815,2/29/20,"8,266","307,329",2.69
Alaska,3/14/20,"1,120",3/7/20,"8,522","307,329",2.77
Alaska,3/21/20,"7,847",3/14/20,"8,512","307,329",2.77
Alaska,3/28/20,"13,774",3/21/20,"11,173","307,329",3.64
Alaska,4/4/20,"14,590",3/28/20,"19,845","307,329",6.46
Arizona,1/4/20,"3,132",12/28/19,"17,991","2,864,180",0.63
Arizona,1/11/20,"4,654",1/4/20,"18,259","2,864,180",0.64
Arizona,1/18/20,"4,152",1/11/20,"18,421","2,864,180",0.64
Arizona,1/25/20,"3,475",1/18/20,"18,401","2,864,180",0.64
Arizona,2/1/20,"3,807",1/25/20,"18,854","2,864,180",0.66
Arizona,2/8/20,"3,636",2/1/20,"18,461","2,864,180",0.64
Arizona,2/15/20,"3,538",2/8/20,"18,516","2,864,180",0.65
Arizona,2/22/20,"3,151",2/15/20,"18,217","2,864,180",0.64
Arizona,2/29/20,"3,086",2/22/20,"18,137","2,864,180",0.63
Arizona,3/7/20,"3,357",2/29/20,"17,593","2,864,180",0.61
Arizona,3/14/20,"3,844",3/7/20,"17,595","2,864,180",0.61
Arizona,3/21/20,"29,348",3/14/20,"18,108","2,864,180",0.63
Arizona,3/28/20,"88,940",3/21/20,"26,387","2,864,180",0.92
Arizona,4/4/20,"132,428",3/28/20,"62,597","2,864,180",2.19
Arkansas,1/4/20,"2,576",12/28/19,"15,323","1,193,713",1.28
Arkansas,1/11/20,"2,493",1/4/20,"15,536","1,195,622",1.3
Arkansas,1/18/20,"1,729",1/11/20,"13,229","1,195,622",1.11
Arkansas,1/25/20,"1,683",1/18/20,"12,331","1,195,622",1.03
Arkansas,2/1/20,"1,837",1/25/20,"13,210","1,195,622",1.1
Arkansas,2/8/20,"1,724",2/1/20,"12,964","1,195,622",1.08
Arkansas,2/15/20,"1,602",2/8/20,"12,979","1,195,622",1.09
Arkansas,2/22/20,"1,055",2/15/20,"12,546","1,195,622",1.05
